id,title,description,category,location,address,start_time,end_time,price,place_id,source,business_id,tags,photo_references,created_at,updated_at,status
0005bd70-8381-4aff-bc59-1b02ffd54f80,Theme Party at Majestic Theatre,Dress up and dance the night away,night_club,0101000020E610000063EC8497605856C0FBAA01EF89894540,"115 King St, Madison, WI 53703, USA",2025-05-26 12:45:00+00,2025-05-26 15:45:00+00,15.00,394914a0-c6c6-4007-a567-e408e2b8af96,generated,,"[""night_club"",""bar"",""store""]","[""AeeoHcISivQcWpsX2pKNzs1-GG209j_3j3qzteRs8XlbIjucpHWd0Ry2UdiGI9YqISkozTzu97yKJ-Lgj40hFIxSsllg_ir4FFMr2YYnMWRC4EAQm30yeB6vvp59Fq2oZ7Z5_YQU05BusftqUJn5IQfvbSFyfoCb_fkGfOxzoiGMGLQ8LkfPN6AW-mKbSLl0U3HQMAsJvS4v6XB0G4a3U92jdP-1vNyvFa2ltEclXH3VjJyhiovxep_1b43AW95PvfpvVNNKYHAgUE19WNLc0F5d0LRiUtlQCONrk4nkj_DlxKql6OpRAK6VH8TUqBV-9w-l6IHLcIF2rp4""]",2025-04-27 01:39:25.07663+00,2025-04-27 01:39:25.07663+00,scheduled
000fc038-93e2-43b5-86df-a87247b08c0b,Museum After Hours at Boy Scout Statue of Liberty replica,Special evening access to exhibits,museum,0101000020E6100000C3F352B1B15756C050A8A78FC0904540,"1625 Northport Dr, Madison, WI 53704, USA",2025-05-09 20:45:00+00,2025-05-09 21:45:00+00,20.00,ef1e70b5-5e7d-4623-953b-33975e13be96,generated,,"[""museum""]","[""AeeoHcI-JLYBb0Vy_4CYAF8S1eAQ9jQ9wK2IyZcyyizX77ri8LidclCbnOhOheZzjNaPINR_qTUcgPDv9xl1ccnoypjMfr04umGDLQMeQ6Yy-BfIUJJH1Q1RDCib4AYYt_BfnmbCDont9m4CGkGsxeknB1KPHtvs6zmGFZ_yWkNYocotUw9Q4Vl0ct7pvzul_0JkMd46fk-hVhawcupcZVwjkMN3sFGAXmr8WWSICIr0uZu2JndxsayC_SBjxvURAZrrZvdMLytUfYFvgj9VPpQ60zc8cio41P-q08AQRDAXL5De5qbLhS_9VSiHqOnL2EoEY9Of6iibtCjShyCIwm3iwulkx3fKZ9_7sEzECHqYLVblcVFq8HispFonuN2dq3lHNbOrAsZ78KpDV3XqnW5hiIfwTUBS6UVy0-YMImQ3pu-Due4SgFZpnkRH8Xh2B9dZu-Cy2CJc7Cw5N2ukBD9n7jIW2PRwwT0yyr4cB0KireRmjtHw119TcOoj80C4KwzB4VVeBK2xOVzUW0jTSEZlAY0ejaw8W275iGZObY4r1Pjo0CIWz3zoQJb8XIzf0k0drrZfXz477L8lCGVuvUL5Q_zmXVXL5sJhvxf58CKhMrgcJE4RQhus8JbHZgvxoMFlCBFRUBCe""]",2025-04-27 01:40:14.167781+00,2025-04-27 01:40:14.167781+00,scheduled
01311a3d-2b66-43f5-8202-1ee66524e5c3,Tasting Event at Chipotle Mexican Grill,Sample our best dishes with wine pairings,restaurant,0101000020E61000008721286D605956C0C79BFC169D894540,"658 State St, Madison, WI 53703, USA",2025-05-06 19:30:00+00,2025-05-06 21:30:00+00,49.99,3b26e55f-0bea-433b-80ba-f4f40fab1aaa,generated,,"[""restaurant""]","[""AeeoHcJ8GiLUXQk9KwBgKB5KE1pRX2lONZtmFVthC7-BSCYEpRNP7hz11nZ9zYBIE94MeW5zigOF8yh_dl1BRd4If_4Zk4PPsqMy82GMwKusnrLrqa-gZ83xZxRas1z9xcQThCrtWmS0l-ARlNqPzCMaN3is6kt--LiX5yTiCTOVWi1kThPh3OLRalvnv8Girc2mIuViUKhnC9b40-taN5vco1ZvW69tVGEoUB6v99WeNIVSIeirUQ-NdkAf6XSEj5gjQx21z8Y5rwD7L_mcSFFpc15LPDuC5BObtHyJFD2IjJnHpAjiPYmbwM9amYiUvAuGyX_osbq5DnqSRuZtnhKMkv04qxdxpQSOwuE_oIPu2n1INFmGZ-nLJg8CtrNu_bmBRbDAkL7wN8shGcrpiVhNZCTWJzMl9q7INiPwKAX5lDnLYsAlal9eF3QCnr5ycnPk6uBJLSzyxc12-TJvxDMTzLqCchDqfBTSghQYerB_vyYrot7CEye-V1pUq0bgRqmJ9Ymf4KNDbNOVh6oFBJhuf-g_Dvhmj4Mm6FVdc6LV55ZJd5Pn5zx3YJpjo72BNu16VGAw01djZehhdvjOzjQaY3fIVzTgAMJoUpSxFTsaUKQn3ccReF95K5CarXkipOIt6UraUg""]",2025-04-27 01:37:28.82691+00,2025-04-27 01:37:28.82691+00,scheduled
019cc87f-a492-4e88-be85-58fd4a00879d,Happy Hour at Lakeview Lounge,Discounted drinks and appetizers,bar,0101000020E6100000A5D189A9995956C0F07F91E1C2894540,"800 Langdon St, Madison, WI 53703, USA",2025-05-24 12:30:00+00,2025-05-24 14:30:00+00,15.00,611819d5-6a46-4560-a07c-e98e469892ce,generated,,"[""bar"",""night_club"",""restaurant""]","[""AeeoHcKI2n8yhK_FLRaRBODC9TC2WiEDwgJNeI9cC6PBtVMxnYJYBEiNBN9pMVlk36a0tV77GSqX6e1lzB2Jw05hrR1OHBrSFzEdeEpznsC_33fqIikWnhQpK5yRsONAkxdN6eo3U-N61WSJ6J4DmjLhgq3J26BwMtD_yGYTdQ8M6pO2YezbLHEJcPTE1inMdK9WxBhlgkt4tt8P_OFA-0wYr-5EJ-w5w9p8VcBSRlLZ3TOTWkZjrhr39ZRJ2_CoMZxj7FgiqMpz5S1k91F8Q2O5mxRlInZpwGia7Ipy9ZMhwqzRy-4gCkxsF_W6AkpdNqOlWbTE2qgJna4""]",2025-04-27 01:50:28.933521+00,2025-04-27 01:50:28.933521+00,scheduled
01ab837a-fbbf-4d67-b81e-6243abc86e6f,Live Music at The Coopers Tavern,Featuring local artists and bands,bar,0101000020E610000025EC3603B75856C0C79BFC169D894540,"20 W Mifflin St, Madison, WI 53703, USA",2025-05-09 15:30:00+00,2025-05-09 16:30:00+00,10.00,0487c1f4-59c7-4fab-86de-ff4a329a5cf6,generated,,"[""bar"",""restaurant""]","[""AeeoHcLAo__2OSh9j4tgeTQQ4Y-3T4GIjGl8bZH1Kir756axWwBhi3jMYsPHICXIURNqDkp-BVx67n1u-NBUQzFSIllXeeRYaa6IyCuqwpuOo2ipZQZA1tbtuM5qcRVOB-1oeivEJ-XI6-5g3u9mpiDMMLcRQcJS9kaVeNTOyN_NLltljtZaJdmpRQinSqB0KJ3YOuKEPhkVhYEEZv6lwQMRYsbI3syzDCECCPh1_5t8dFz5F5nSRqpr_gwvXnxBmNhlQ21jt7FKQU9hQI3XTzydjaFtQ05lzZa_dh7FE_3iOd50hbFvqONzG4ZcosWPbOyaEjDEvxXd2OQ""]",2025-04-26 23:05:58.671906+00,2025-04-26 23:05:58.671906+00,scheduled
01afa78d-918c-4296-8456-ff7a34bdc341,Tasting Event at Perkins American Food Co.,Sample our best dishes with wine pairings,restaurant,0101000020E6100000E5023C0E285A56C0A764EF7B8A844540,"2630 Damon Rd, Madison, WI 53713, USA",2025-05-12 15:15:00+00,2025-05-12 19:15:00+00,49.99,b3114357-80b4-4b0c-9bf6-7c382f381493,generated,,"[""restaurant"",""bakery"",""store""]","[""AeeoHcIVIm-sKk705IxEnE_CAZ9USqlS7f4zyYmBwY4AXx-YKPZg5x2gOZyfqJmy4XqYlm-xnuUc6XXxl2VwuCBd7M207A5xOCa4R-C0VBsQUkFeqArFtaqGYTrYMLxTyUdgJNOxmvOGFKIix9H6uh22xx5jwRGbnuLB_9LN91nR3Z7WKWG045Ga-3YZfEE8dSIo5vy8bZB86ChLAkI7jU78wB7j5K-WyAgciJlHQazFsMHt4sKj7RrVdcbo33CYE8WSY_u3dUOwwES62-RHWHu0rpwQFeCQOiJOuKG9bV33esMhsc0h9uJlLJoZ9RruuoCVLH_WRhRqnd6qfHH620-0qLN9l1ioTq8Zw872PQ34Jyr73ua8bWfUff0FTGs80E54DOboyq_gVG3Z-R5VIeUh3ZG2nGUA9wOx-kkX-UBX4oubklI-xbMji1cQGqmwFSjC8vn8G2EPOAm2XSOt3iMe-O1IPAM38bfjQ8hiz6qST9dNft9AHn2Cx08eZk34TzzWMwmscaQUvwJUz_EXHZnBpT5KQTpOFrvfjBHrcSGlycbO6x3EowUYEudlzxqIXZEa2Byt61U040B3302zfMFjHbjn4b-CoFo83x4e7h71JCmYGssg9YQstJOGL0khxn_FScKvLkx0""]",2025-04-27 01:47:07.108619+00,2025-04-27 01:47:07.108619+00,scheduled
01bb3019-f16e-4b33-901a-0dd80308df35,Art Opening at Gary's Art & Frame Shop Ltd,Meet the artists and see new works,art_gallery,0101000020E610000018AE0E80B86056C0D18778358A8C4540,"2029 Parmenter St, Middleton, WI 53562, USA",2025-05-02 12:15:00+00,2025-05-02 15:15:00+00,0.00,74da5484-f101-465c-b30e-1cc6d9f530eb,generated,,"[""art_gallery"",""store""]","[""AeeoHcJH3X8wC4G1qj6hyM_xIC1BXfjGBNqORpBd0lzEsUPmCI-fQ0zuPfoMz5t2m4AkxcqRasXPpO-dRvfnY5GTynil-r8yxURSuXqTu3Gk82Aco6CZ4HKlaTaHP47-GJSVqolE04nu7dPKqrkvM318GuUIYA3Exgt5ZFp49ZA_oSPoQukZ-pYgUIcUh4JyWQbn1FUn1Y6-yE3nJ52tlQSHdxwXGPJCo8pMaA3pN9aDDvAOWQTwig7aRQD8FOqPzdfRzaIgFCTH82TuUTMmfig8rNklMIU-g0KldIKcpTKijJXQMOK-YEYhxJiNzwvBttfAL_L0Qa4h1No""]",2025-04-27 01:46:47.142482+00,2025-04-27 01:46:47.142482+00,scheduled
01da816b-6b4a-4c8e-ad33-447f8de1b0a5,Tasting Event at Mickies Dairy Bar,Sample our best dishes with wine pairings,restaurant,0101000020E61000001A683EE76E5A56C072153026A2884540,"1511 Monroe St, Madison, WI 53711, USA",2025-05-09 18:00:00+00,2025-05-09 21:00:00+00,49.99,6c7ab592-718e-4d5a-bf7a-a389d6a08340,generated,,"[""restaurant""]","[""AeeoHcLHKsKmyjDywmzfRh-zRolwbg81c0IicSJtKqU_e9ojOw24dbDhqTbxYM9OGjB45mBttYaic4LO39JfIyzNjmzybiUHfC4IjX0ECYPeB_frMRljDH9_KcY-2P_4LrrhIWVAfEHtGyDcPtgAKf48LX93feshN6JesLUuRfeLpAUAjQKqsLXQzahBv1NWrapn0kkNRlbaky2wSY0YTuPWqAjRroWwT9s-WP3nQF6WqKNWLvgJqnEgU6wElywoyVKwtmRQPr-pPnO9aHKra4NaD3xmpKLcLvIUjMCGOs6fuKv4cp32rv0oizCZAeSBWfevZz-RT7UdKkQC-8JtzULxvFs7s7OaFCFHjocLIa9YqYN_2tmPvLndUt5c3xLw51Hagh3p8PJhjp9DSsbGHNkgK8R9y39ad-CZNKd_20AYZ8IO-RoEflpIyDFHNT2x0LHNC5MtKZViMlr3MTNLp_zHxmCyKHQAPjsHF_sNf2EvhrQpG8kFPBOwd3Dvl4YraRgppJZrOByLhwoJX1Y0tkN2qFllK_A8LtXm6wweDizc1SH2keyzqJH8Jhg8clwyLuSwwfovOtfyf77jA8VvbwLRK3RcBwqXr7_aVIZ5Udb7gntTBHOmczqygRxWAVVPxFxK""]",2025-04-27 01:37:59.057285+00,2025-04-27 01:37:59.057285+00,scheduled
01edca6a-a34c-4a97-a750-f6f425c90747,Live Music at Bonfyre American Grille,Featuring local artists and bands,bar,0101000020E6100000789ED387095B56C0C1C018366F844540,"2601 W Beltline Hwy, Madison, WI 53713, USA",2025-05-25 14:00:00+00,2025-05-25 18:00:00+00,10.00,87badcff-1287-4c4e-a05d-5f83c5ac62c2,generated,,"[""bar"",""restaurant""]","[""AeeoHcK9pTMKfT7YolYjvLR8vL5R8Pc8NayDqgAWU-Kqk8z8Ihe-uh3ggEdLOaOrFI3KudfStCmdSm20YyotFPAfsVb_nUxPDjfETuBUOvO2ixJRcIsnLZdNELa1Vyna2uRoX3aYWpKjyteIXt0oPH5rOqWsrxbjBid-u-yj1q_dop1sZpAlz_92b0kU6pZzI78xmxLznfYlI3T-3YSNvdkq--zsPTb46m_H-2YoDHFEIWi56Ys7pYTSmy5tb9cNhTlnaLvgG1Gdy2vv1Zzdpt5SnC6FAhkStEf8Uzo7wMGsl-aol3f46crxaBhfTM4QF5IMqO9Miy6ZOtU""]",2025-04-27 01:37:07.810088+00,2025-04-27 01:37:07.810088+00,scheduled
02fe181b-34ac-4cd8-869d-6c0d069bdade,Live Music at Dexter's Pub,Featuring local artists and bands,bar,0101000020E610000064123F106A5656C00506FF113C8D4540,"301 North St, Madison, WI 53704, USA",2025-05-18 12:00:00+00,2025-05-18 16:00:00+00,10.00,9c30110c-0408-4597-8bbb-59a13bb71d9d,generated,,"[""bar"",""restaurant""]","[""AeeoHcLwalQUtPX55NslMMtbnVnWifHdqEGKHRD0qiPdHTYeGSAsWr-RDZCph5e49A2MNtiWxprdMv7ZI17P6SX5bMGapKzJSQnVewgq-4SfpEN-e2a53nYnQPOicgbp_uGzijtznTpELfuJWuJyFpGuSnM0oF6HUnBUzSafZBO3SBllT20zmA7oyBVXtHPd0kuArPHZU3CjLp5RgB8Z8VnrKu5JKRtvWHRWfPlJukLCGyqBjljLk5DWZex4ifKDQdviwF-P9YGK9FpquMHzYKW_JcrHSV5bQm0F_PtjxbFECevt8pEVQxGChugagT-5HUKZP3qM0IW8IEnfeZxH5UhaNro9TeMxnwvkhx1fyoC1v2muQ7bUHKm3PKCOH4bCFOkxIBbb269R0DifqTh6jLWV12As_WH1N7d0IBOU1MnvlxMbb0KoaS66uoBiqaXp1cdFFizOSh7LPCV5CCgp4qPoUqt1E785Vw7WQC2uFXEuJa397ad-G-IS_kngJd3EBO-L5leYSEkFKWizZ5JgoKc8Qs9jZRefTv6zfL17DzjjGs6Tw7EM55xuyTxd6sDUQGynnOi3nz7pyRWEs5xa3s39UiGFJ55mDd1n9c84kNqFIh2oC2mKY3FZDN1Kqi7S2PImH9ngKw""]",2025-04-27 01:39:41.478103+00,2025-04-27 01:39:41.478103+00,scheduled
