id,place_id,name,description,price,category,popularity_score,photo_references,availability,created_at,updated_at
000fb774-0aea-4484-8b54-47e8f4178426,55ae0c19-2c0d-40e6-9d29-4598347888c2,Fruit Smoothie,Blend of seasonal fruits,7.06,Beverage,3.78076973192811,"[""AeeoHcLJASC1IFC23ellJrHZO6I9jqUfbj3QPXZeGHtLIV7g6Mb7uzhzidXJt0xtTHm57qMcVzwdN17CPaslmR7H81fG0TP4jOdPGGcrLe8QnhLq2ZDl9jnq3I3Vbv1xewckul5XWjuaZ0-XxJFa1WJEuwxxbcMpcQ4IYed1JQVfK_9bkcm38kRaZ-oNUfSxXUzzfDiwZeXowUNhc0SbtBJtSB6H_L9x3xxy1A_CMAhEGECQVRTDjInFQRjLjmSb78ip_Tf8s5fvD-PVBg_8gs2Cf-VPdlPFhZxosEJR10se0vZyuXU4OmweOzmtIPnm3Qwbq3w1HeXsK0I""]","[""always""]",2025-04-26 23:08:31.056351+00,2025-04-26 23:08:31.056351+00
00538650-4fd6-4022-9557-9f14dcbf6b2a,1dcc0100-d0ab-403e-83f7-251ae84a5070,Avocado Toast,Fresh avocado on artisan bread,9.99,Food,4.95728026212879,"[""AeeoHcK6AIxVAtuXGNBlPpqUH3OrHxcCb-ea_ulpnfPUu4PRPpBG_bVcjQcWPnM4YCm-tK6GBFMwGcm7JCN3eL2FsLMdcLmPUf6DgWirxiUUehQymrqmX1WaYIdJqHuHdlGerv1VMfgjUZoWtv6GDFr4ETTZGP-UY53URMGg227JqMtAlLiS_h7JV02e8LhFiGE6JdTM0MqwXmsw41uzbrzjbJCefjCCeL4yMEBdB7PoQDCUCGmYCOStsogQKmaFX4AzD77GwP0avD6hL8-XMpXMr5ZDWwCIlAGt7kvxOAMHqbRTEY5IoOkTs81rJJPampOl6dKGCvgj""]","[""always""]",2025-04-27 01:38:13.109556+00,2025-04-27 01:38:13.109556+00
0056263c-127d-4d90-be66-6e413aa09913,6160e027-5c19-46f1-bb65-4578b3cf8b7c,House Coffee,Our signature blend,4.21,Beverage,3.05121738837228,"[""AeeoHcIENj_UHXIuGQjqe2xIm3dyxfqohi8m3-pYDuNANgRsw1hSV3vrmWDXat3xi3i7GVSFLkR8-jnHBcOByYo_u_jBqzfJkoo3TppZBH_rbXown4v9mdMXwF7THTDUxvR7Fukre52a0YSuIEN61MGV8WWF3krt0qk19B2ZHrLWtujihkTpZpjS3H06OEhDP4p2Fh5bMJjTmgBs3js8TJo9soRNDkX_xG8WqnPzktnIewShW13o_W10-emnaw9_PE00KUAVscDSqXjYrajL_csp5QlfH5tbX20yXi0tRRmub7UBa6A8crkNZCslwfeVMDUJkgjyQmOkdjkqhWFH1sqFmyFBrZ2afcwepLtcQjd0D6Ed4mx1UE_4KhKI2kNlNlhm5KgsKfGRVBBGfHhb6IiLaw0G2qQsQe7gCYh7VbS5I93u3QNjsi853GGxkNIbT9gPGKge11Ujd6ghgHIkRhUKcnpaZ-2ON2BQh-cbgRd0I7iJI9IovuNpXd_4-JH7CJtUUiQvFTeFccDE1gRzm7gT-y332LMG4xY7vOhdaCI9M9w04PosnvJqDeSj5wIt5R85wrJjNzpAHCC5nA4o31IRWqx35WxTeGa6D440YOFQXGQSwX09tSX_bpMylvfqMjcM""]","[""always""]",2025-04-26 23:07:34.427122+00,2025-04-26 23:07:34.427122+00
008329c0-de24-45cb-97a9-0710e867598e,35cf2dd7-f816-448b-b406-9b4e4025ba2c,Craft Beer,Local brewery selection,9.32,Beer,4.0931221255708,"[""AeeoHcLBCVAdvQ9RIAjZf1x3jCQhpMlpywIfmpd0JyPGyVfsYkaOkIHRLrUJ5ramk9StygoiWfZxv6ZpSs6fwToeqRTrTwZ6mPU_MknVmXemK4yLkI4CXYmthJYGYodyycJQi4MqhzEY5Qub2OKJqReiUOOqr7GxW0SvPNVMeyjv6abPBfEr24fBFKdJjKUy9yO2Ryx5yDTmBL3-9XA1w3-Q0hZnjmRvEHFfR4KV6WUD1kJ5AYnBGNuL1_7H8v6WUtgsH3fwuggcfA-WjfKCDMyMFz-njbMsofeWrzQTegOKP78N5l0RFDZP7qbQf8eDCgbEg-ojMea4qU0""]","[""always""]",2025-04-26 23:06:43.848757+00,2025-04-26 23:06:43.848757+00
0130c4a7-9d97-4df3-bcab-a40aa70a0d70,9e201086-4525-48f0-8b06-84cfa5ce4f8d,House Coffee,Our signature blend,3.25,Beverage,3.48014153375107,"[""AeeoHcLEwyh0A83GlknqFsAtel-pvQ7Ey2dIDX5PgKuyGqV8j2PX5tGSGn3ERyhe7xRDUlQ3-06POnxMdBfD87e5PqZPZTbiKGSV9JFhBy7X3cjGSxyUJySLftIMO8Pf2jT3YY_B2_MBTkE4qIg2nwzrddK2wPMGsMLCO3_lJHCkPbYILDtWDGF_oiavAcFJ6CU2NWdQ0cAsKqpQDr0JfDkvOv7MepF2KH97HXo1lg-RFy51Q6C8W4Psa4MCaDnjlU2VipGLy0Mv658czTpL8FQtMUyqAbiyxwg7n916N824MJzvHGDMguitcPek_F9aWOQVzPulISkE_PY""]","[""always""]",2025-04-26 23:07:45.733536+00,2025-04-26 23:07:45.733536+00
014941d7-0e23-4ff8-9958-599d4ffe596e,e393708c-b04c-479d-aeae-4b499ac5629b,Celebration Cake,Custom decorated cake,29.32,Cake,4.26568474364936,"[""AeeoHcJOgGk0Lj_MOVKvFL6WIKcvUN0B4OSKCU-w3kRiKwmV6woqwYwp1selkjB21DK5XJzUhlzx2--uwn-FYn26WnKfjzZmm1eZ3AWjLhzViNhNc9y1PbJMIEz7xHPx9vkMGeONi5U-_mtMcxXopyjrEgHJHXTpQvs5t4Rthi6Pb_NEcr1M-fTI61qfZ-3eBIP-uH1_MhF3qKAQpNUCxIAopWYenEJiZcmzd9Ab5RekRSKHnYNiBuV-LERR6oLNDE9flwWxNYyTNbxGylNDu8_2ZcYBt72ETVrS0CSO9bo9h1UT7j0dRPB_7WDMbOlCvpQjaNlbs5YnDOvQHJPjz8DzctpL2h5uo1WNj2IA9ThM43DZk8ryBuYny9117j6BHBDPO1riaDk50q378F8v9NzumUXt4SZeYK-a2M6p4fvZRTAROUjESd-Bmv2gWQJ-0ZCS9molTVa-AyGonZBVW6ar0tW_8b3aPWmX5vOG_n28Mwc0oUKrTbpxhvGNMHUY9E_5I0OS18mKsZrt1zgWipfn6E3JuArrA9HnEk2lcM64A_6ENPpFfsoNnkR4msSsV__0e11sCTNuE17FcPPUi6NFj0G2l2guCu2QuvwaYKsl5R9IuSzRsFQcu1LGuFeQQPVGUtkA9oEF""]","[""always""]",2025-04-27 01:47:18.535326+00,2025-04-27 01:47:18.535326+00
01585981-d212-4e1b-a3e4-bbc392794f89,00525517-48b4-48bf-87b8-b011872e344c,Croissant,Buttery and flaky,3.75,Pastry,3.31821933088564,"[""AeeoHcIUYMD_cB1EFceFr3Lr3HSRgHY8FraHKuiDZ5doigTdIZnKRRHtUyf5bLOdDLTdfESvSeO7Xy_EzQkzkO9vPx0Fg1AQnEjMB7XYWXt1uqSRRBXq14ApZIqRgb7PyEmm68TrWL0lGMZajgZiZ7w8WwuLhQG1GfeJrgIRifggP4zjwOefpSoG3bFBjDHAwUjnOu0UwH24POvJG6BAli0EpShOzuIyt0Tu6sKO-bF80vPrtSMPKtufsoVyIq1wHwRXldNThQmPCyRFtvNUCikC3Sv3JqFsUOTTbpBb7EFB9cuqwsYV2WH-EujeDDgu04sup-o5CRgiEKkeyEIhX18pB1qI1zuGBWI4nHbjAuxe_fp59ExBLUCujieVGZBAA7icsRbM3v0gjB8nNhsU-IMcacZ1mljxYIZ-QswyOlBOQoUqXpZAcb1FtehtZiy3vaMSF3gSA5yFzP5sZeEjoA2Ry7aA7HWFsXCX3er3ymPCq84dbv9WQfeCS_YYuUwFQyw3LiQbjB93rEGoLRgnl5eCasaWu-dnWEGogLaP26k74tA6Zr8nfjhJyGKWRoFin99u0QWPHChsniZUBl7KNCUgPsdtxYl-sGit7g9cpkaK5awb-NXsxzhUkB6BK59O-aSdElqP_A""]","[""always""]",2025-04-27 01:37:22.333243+00,2025-04-27 01:37:22.333243+00
018e4cba-21fc-45c1-88c7-890d264cb266,efbf7b1d-19fb-4110-8482-c1c329b90bb8,Premium Spirit,Neat or on the rocks,11.89,Spirit,3.60895124110634,"[""AeeoHcKT28_4CdJM2m9ugUHfRih48hMUwv3wN1oiB5uNZ-GR-QZDWV-GeQx54SS1ycJPdOkOFUEaXhjtvx8xFiezgo4J_Z6lo69SbBezMAQfhzrVbVd5tW9m9r-X0_cjxGf2k5fom50ddGkVrGQVg06BF3AHz-A2t5joDKVxdn1E7RnMgtwwOTev058_B3eiKfQcXEaC5DeI0MNItfLYyQFsJ8VLCPmpoc3HwISHVXGZ9IkMrG-sjT0Vrsylr2yOgGx_aJ7igmpQA9V7Jdq62je5wjr4UcMOyvy5dzQG98ztvNxPat1eHxPyKokEL1vleFdo_O_WsDgOLVVQxrhhdLmR3NuY3TKH_qLuLLluGfyOVNGqtPxA7fhGJPodyGybS7bqdt6cgcl1nwOutU0eq6g8fAXfpfwvBaJ1filUV6TtCaBCeXggFMeTNyCcgO1K4K5CB9-o08jlQAFuv-ekqswW8zu1p8XQK0HZBV76fxUSj6Lrr9_F997t_41__AGrBkTRYIWPDlQxwLva6-BZRplwarHvXiK-MQiet5rpOO2XHHbvUT4VImHZG27bAwSNlvd-q_XkeokNbb5lUSi96mxI1JBUpbZVzICuOTRxQRKVV5k2YG1lgP6lYYtCtEasPbwX""]","[""always""]",2025-04-27 01:38:01.810417+00,2025-04-27 01:38:01.810417+00
01a09185-8b77-45c0-bde3-7a7ef7518d59,88a88a41-8219-4ed8-9426-3ba377546e93,House Coffee,Our signature blend,3.29,Beverage,3.59534635486442,"[""AeeoHcLUDb42u83g0lFjEo558e1Zp7owGtZ-gBYsupIqjx_-h2u5gBuYuBh_LUEGItD9-mrWY2OL1Q0I2S_DvSGZ5gOmYVE7dXs2y4x9k5h1H9Pci0heFg4_vqWXSwCfG_C9UzGJIj1H24v-EuBNWsg08OMbR-lc2eHPnRaImwkDHCDLncoG2FXC4FagZDAqSjX-zi1Ge2r7TiMIx9l2AwyCo8zc69OgYSnlHIjCCWhkSdeFYZl56i7MggDwQ6MEfSVVnEpG1lYNuP7rX_RmhbNSQusG-t6PIdvdccRG9fiNwUrvqcmc_sWP2r4CLqkaKVH_9yBCNptDHLGLfPxlk_bQ_yTEib2VFIUIorerTbOTu2Jbg7o2zQVs5x5LZ6fnRSFvMe9mhWFPA8KrHo_eB21EmSR-dAiGk9QCCXY6Oi9eIu6HXvwX00MACdIZ44TnlxJJ9xBMFX7xFX3r8WBISlaJea_ZWpwMuh77kg44mPOaO5u8BnC6BMnPxt3flQRhiozJEZr1yYv5f70hYzgyOs1KgCydwJ2K7tJYDwoXmp73yfIxA9TjvVXsLzV9BvaSNxss1uX6w4__eFFRdLQiK-hd-w4a2YblQkgL1ygHnG0y-1ZxkhRv2IyUTK9A8mG5pO7AZcrvWSAF""]","[""always""]",2025-04-27 01:38:31.718138+00,2025-04-27 01:38:31.718138+00
01ab4325-a1c2-43f0-8661-cfcbe0f022d1,7dd1d9b6-d8f2-40a7-b99f-b257e2cbd34d,Avocado Toast,Fresh avocado on artisan bread,9.48,Food,3.49250244033973,"[""AeeoHcI4YiGiCbNEcaovgsvJtngUodBWkgJsSlCPsE1kLb4gjs-vIqPOD_gHobv0rtLszirEAa8o9I68oeWlqDGBywqSj7CE7BIIAzsUVmqZxmXtERFjzID6x2iv8I-Gco0vgBJOq3c435nEjkUF8dxbGhwEfmXI1lvaAF4Jmkf_pHAp1i8yDl6yQGsAzvfcpaLNtcP4M_ygTMLSdedjXHAIQqilJGI6ve3D17TKAVXdI_MloCu_c7MM3A1v1r67zlQB5E911fCmT4oLq9gBJoyxiVky3uz7MmqyjHGo4Y3erTXOqUSvpLdVAVbA8FeELt2NN8fXqS_4R5E""]","[""always""]",2025-04-26 23:08:01.526569+00,2025-04-26 23:08:01.526569+00
